City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Larsnes,NO,62.2028,5.5773,51.44,90,100,12.48,light rain
149,Vardo,NO,70.3705,31.1107,42.78,87,75,14.97,broken clouds
150,Carutapera,BR,-1.195,-46.02,83.91,64,38,9.48,scattered clouds
151,Arlit,NE,18.7369,7.3853,89.71,15,0,15.46,clear sky
152,Gornyy,RU,55.1153,83.9059,43.81,59,100,3.51,overcast clouds
153,Dongying,CN,37.4564,118.4856,51.33,32,0,8.3,clear sky
154,Xining,CN,36.6167,101.7667,38.89,55,1,1.68,clear sky
155,Torbay,CA,47.6666,-52.7314,54.39,85,75,14.97,broken clouds
156,Benguela,AO,-12.5763,13.4055,74.98,82,28,5.35,scattered clouds
157,Vostok,RU,46.4856,135.8833,30.06,90,31,4.05,scattered clouds
158,Manoharpur,IN,27.3,75.95,72.39,45,0,2.04,clear sky
159,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,11,5.75,few clouds
160,Uige,AO,-7.6087,15.0613,70.12,84,37,3.18,scattered clouds
161,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,6.91,broken clouds
162,Hazorasp,UZ,41.3194,61.0742,60.64,36,88,10.69,overcast clouds
163,Araouane,ML,18.9048,-3.5265,91.38,8,63,7.85,broken clouds
164,Clyde River,CA,70.4692,-68.5914,34.03,86,40,2.3,scattered clouds
165,Bilma,NE,18.6853,12.9164,83.1,18,0,4.5,clear sky
166,Kodiak,US,57.79,-152.4072,51.31,76,100,6.91,moderate rain
167,Nome,US,64.5011,-165.4064,30.27,80,100,11.5,light snow
168,Butaritari,KI,3.0707,172.7902,81.68,70,43,17.92,scattered clouds
169,Pevek,RU,69.7008,170.3133,7.47,97,94,4.45,overcast clouds
170,Pangai,TO,-19.8,-174.35,78.91,78,75,13.8,broken clouds
171,Sobolevo,RU,54.4299,31.8996,43.92,70,100,14.32,overcast clouds
172,Pushkinskiye Gory,RU,57.0209,28.9103,50.99,77,100,14.47,overcast clouds
173,Vrises,GR,35.492,23.8899,67.19,79,98,15.52,light rain
174,Faanui,PF,-16.4833,-151.75,78.94,66,11,15.46,few clouds
175,Lompoc,US,34.6391,-120.4579,75.69,75,100,9.22,overcast clouds
176,Hilo,US,19.7297,-155.09,91.27,76,75,8.05,broken clouds
177,Saint-Francois,FR,46.4154,3.9054,67.44,64,0,11.5,clear sky
178,Nagato,JP,34.3833,131.2,66.52,81,3,5.7,clear sky
179,Korla,CN,41.7597,86.1469,53.73,27,0,1.21,clear sky
180,Birao,CF,10.2849,22.7882,75.42,58,98,4.36,overcast clouds
181,Ribeira Grande,PT,38.5167,-28.7,66.78,63,40,16.11,scattered clouds
182,Mount Isa,AU,-20.7333,139.5,71.37,88,86,6.91,overcast clouds
183,Iqaluit,CA,63.7506,-68.5145,35.33,100,100,20.71,light intensity shower rain
184,Hofn,IS,64.2539,-15.2082,42.98,77,11,19.62,few clouds
185,Kutum,SD,14.2,24.6667,78.71,19,6,15.19,clear sky
186,Shizuishan,CN,39.2333,106.7694,41.68,29,0,6.93,clear sky
187,Moa,CU,20.6569,-74.9403,83.61,71,27,7.16,light rain
188,Bonoua,CI,5.2741,-3.595,80.22,87,96,4.72,overcast clouds
189,Plymouth,US,41.8334,-70.8328,72.21,68,0,6.91,clear sky
190,Tuatapere,NZ,-46.1333,167.6833,47.53,77,46,3.13,scattered clouds
191,San Patricio,US,28.017,-97.5169,95.09,45,29,12.68,scattered clouds
192,Haines Junction,CA,60.7522,-137.5108,51.75,66,100,8.05,overcast clouds
193,Touros,BR,-5.1989,-35.4608,78.46,75,6,18.16,clear sky
194,Ulladulla,AU,-35.35,150.4667,54.64,88,100,6.85,overcast clouds
195,Ambulu,ID,-8.345,113.6058,75.63,92,89,2.51,moderate rain
196,Honolulu,US,21.3069,-157.8583,83.28,63,20,6.91,few clouds
197,Tieling,CN,42.2931,123.8414,36.66,55,0,4.61,clear sky
198,Komarikhinskiy,RU,58.0979,57.1163,41.09,93,95,6.38,overcast clouds
199,Mana,GF,5.6592,-53.7767,82.99,74,88,9.73,overcast clouds
200,Bjornevatn,NO,69.6672,29.9847,44.22,81,75,4.61,broken clouds
201,Kilgore,US,32.3863,-94.8758,72.23,88,40,3.44,scattered clouds
202,Tiksi,RU,71.6872,128.8694,17.69,89,99,18.61,overcast clouds
203,Saldanha,ZA,-33.0117,17.9442,66.25,91,0,4.72,clear sky
204,Paita,PE,-5.0892,-81.1144,68.27,71,60,18.34,broken clouds
205,Meulaboh,ID,4.1363,96.1285,75.36,82,100,2.21,overcast clouds
206,Nador,MA,35.174,-2.9287,75.45,60,0,5.75,clear sky
207,Sorland,NO,67.667,12.6934,44.46,76,89,9.64,overcast clouds
208,Lebu,CL,-37.6167,-73.65,54.63,81,87,13.82,overcast clouds
209,Namibe,AO,-15.1961,12.1522,69.03,86,81,8.48,broken clouds
210,Soyo,AO,-6.1349,12.3689,77.14,84,85,7.61,overcast clouds
211,Akcakoca,TR,41.0866,31.1162,61.32,87,100,11.01,overcast clouds
212,Chokurdakh,RU,70.6333,147.9167,13.21,85,99,11.54,overcast clouds
213,Gat,IL,31.61,34.7642,76.41,61,0,1.12,clear sky
214,Vanimo,PG,-2.6741,141.3028,76.42,90,100,2.66,overcast clouds
215,Sambava,MG,-14.2667,50.1667,70.95,77,24,9.08,few clouds
216,Bagdarin,RU,54.4333,113.6,20.66,73,23,3.51,few clouds
217,Kroya,ID,-7.6331,109.2461,77.14,85,100,6.2,overcast clouds
218,Selishche,RU,56.8879,33.2691,46.47,71,100,13.71,overcast clouds
219,Egvekinot,RU,66.3167,-179.1667,12.4,82,100,12.39,overcast clouds
220,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,85,11.01,overcast clouds
221,Victoria,HK,22.2855,114.1577,82.45,47,100,21.0,overcast clouds
222,Zaria,NG,11.1113,7.7227,75.76,31,100,3.96,overcast clouds
223,Nishihara,JP,26.1842,127.7558,80.26,83,0,9.22,light rain
224,Bemidji,US,47.4736,-94.8803,36.18,76,100,3.0,overcast clouds
225,Kidal,ML,18.4411,1.4078,86.94,10,6,10.56,clear sky
226,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,13.8,clear sky
227,Craig,US,40.5153,-107.5464,64.38,36,0,4.61,clear sky
228,Esperance,AU,-33.8667,121.9,58.17,80,100,19.64,overcast clouds
229,Vinh,VN,18.6667,105.6667,70.59,71,100,5.77,overcast clouds
230,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,95.95,28,58,3.24,broken clouds
231,Tateyama,JP,34.9833,139.8667,69.1,100,75,1.14,mist
232,Buraydah,SA,26.326,43.975,77.45,14,0,4.81,clear sky
233,Yeppoon,AU,-23.1333,150.7333,67.78,86,100,4.07,overcast clouds
234,Auki,SB,-8.7676,160.7034,78.31,86,71,4.03,broken clouds
235,Goderich,CA,43.7501,-81.7165,53.91,62,97,5.75,overcast clouds
236,Kailua,US,21.4022,-157.7394,83.44,70,27,1.01,scattered clouds
237,Alta Floresta,BR,-9.8756,-56.0861,87.62,62,0,5.75,clear sky
238,Te Anau,NZ,-45.4167,167.7167,47.17,71,21,2.62,few clouds
239,Moron,AR,-34.6534,-58.6198,69.69,60,42,14.2,scattered clouds
240,Okhotsk,RU,59.3833,143.3,24.33,61,3,10.74,clear sky
241,Gopalur,IN,16.6167,77.8,72.88,95,95,8.08,overcast clouds
242,Misratah,LY,32.3754,15.0925,74.19,59,22,10.63,few clouds
243,Kerrville,US,30.0474,-99.1403,88.56,40,0,1.01,clear sky
244,Dzhebariki-Khaya,RU,62.2167,135.8,16.86,97,100,2.48,light snow
245,Port-Gentil,GA,-0.7193,8.7815,78.76,89,100,6.91,overcast clouds
246,Florianopolis,BR,-27.6146,-48.5012,72.55,95,40,11.5,scattered clouds
247,Delray Beach,US,26.4615,-80.0728,89.04,69,40,11.5,scattered clouds
248,Ilinskiy,RU,55.619,38.1182,41.38,70,0,4.47,clear sky
249,Hokitika,NZ,-42.7167,170.9667,54.07,80,4,1.01,clear sky
250,Khani,GE,41.9563,42.9566,51.37,82,99,4.9,overcast clouds
251,Hamilton,US,39.1834,-84.5333,73.78,33,0,11.5,clear sky
252,Katsuura,JP,35.1333,140.3,68.02,89,100,5.55,overcast clouds
253,Kirkwall,GB,58.9848,-2.9587,51.96,81,40,8.05,scattered clouds
254,Kavieng,PG,-2.5744,150.7967,81.73,77,100,10.96,light rain
255,Klaksvik,FO,62.2266,-6.589,45.52,87,43,22.62,scattered clouds
256,Lasa,IT,46.6166,10.7002,58.08,92,25,2.26,scattered clouds
257,Nyurba,RU,63.2842,118.3319,30.97,97,100,6.85,light snow
258,Gandajika,CD,-6.75,23.95,67.15,96,100,2.06,overcast clouds
259,Mangaluru,IN,12.8667,74.8833,77.86,94,40,0.0,mist
260,Salalah,OM,17.0151,54.0924,76.39,73,69,2.71,broken clouds
261,Taltal,CL,-25.4,-70.4833,63.32,65,22,5.66,few clouds
262,Luderitz,NA,-26.6481,15.1594,60.76,84,0,8.55,clear sky
263,Port Hardy,CA,50.6996,-127.4199,66.38,52,0,12.66,clear sky
264,Balabac,PH,7.9868,117.0645,80.08,84,100,14.12,overcast clouds
265,Oktyabrskiy,RU,54.4815,53.471,42.55,79,98,3.78,overcast clouds
266,Kaitangata,NZ,-46.2817,169.8464,51.01,63,50,7.87,scattered clouds
267,Balkanabat,TM,39.5108,54.3671,70.56,47,43,6.15,scattered clouds
268,Tahoua,NE,14.8888,5.2692,88.5,11,8,6.11,clear sky
269,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,75,16.11,broken clouds
270,Tezu,IN,27.9167,96.1667,68.63,49,0,4.79,clear sky
271,Bielsk Podlaski,PL,52.7651,23.1865,59.04,73,100,9.91,overcast clouds
272,Odweyne,SO,9.4092,45.064,75.96,49,17,5.84,few clouds
273,Tampilisan,PH,8.0167,122.6833,74.19,93,97,1.92,overcast clouds
