City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Maumere,ID,2022-10-13 00:31:12,-8.6199,122.2111,83.98,66,29,7.81
118,Alakurtti,RU,2022-10-13 00:31:12,66.9672,30.3491,32.16,91,11,2.26
119,Larnaca,CY,2022-10-13 00:31:12,34.9167,33.6292,73.22,78,0,8.05
120,Belmonte,BR,2022-10-13 00:31:13,-15.8631,-38.8828,74.91,82,98,9.46
121,Sao Joao Da Barra,BR,2022-10-13 00:31:13,-21.6403,-41.0511,75.29,86,0,19.13
122,Ambilobe,MG,2022-10-13 00:31:14,-13.2,49.05,64.24,80,0,3.94
123,San Andres,CO,2022-10-13 00:31:15,12.5847,-81.7006,82.42,83,75,9.22
124,San Quintin,MX,2022-10-13 00:31:15,30.4833,-115.95,68.59,80,6,15.61
125,Medvezhyegorsk,RU,2022-10-13 00:31:16,62.9167,34.4667,40.91,78,93,5.75
126,La Serena,CL,2022-10-13 00:31:16,-29.9078,-71.2542,56.71,82,0,9.22
127,Coahuayana,MX,2022-10-13 00:31:17,18.7333,-103.6833,79.97,90,100,1.86
128,Waynesville,US,2022-10-13 00:31:18,35.4887,-82.9887,63.25,81,100,1.99
129,Bitung,ID,2022-10-13 00:31:18,1.4451,125.1824,86.85,72,100,8.46
130,Kamenka,RU,2022-10-13 00:31:18,51.3223,42.7678,38.8,80,6,7.27
131,Ouro Preto Do Oeste,BR,2022-10-13 00:28:28,-10.7481,-62.2158,72.84,94,97,5.77
132,Abeche,TD,2022-10-13 00:31:19,13.8292,20.8324,83.52,25,76,11.45
133,The Pas,CA,2022-10-13 00:31:20,53.8251,-101.2541,37.42,70,100,23.02
134,Kalmunai,LK,2022-10-13 00:31:20,7.4167,81.8167,77.59,87,75,7.52
135,Vao,NC,2022-10-13 00:31:21,-22.6667,167.4833,71.22,73,2,20.2
136,Guerrero Negro,MX,2022-10-13 00:31:21,27.9769,-114.0611,69.76,79,100,16.93
137,Vanimo,PG,2022-10-13 00:32:21,-2.6741,141.3028,76.08,95,100,3.69
138,Vestmannaeyjar,IS,2022-10-13 00:32:22,63.4427,-20.2734,42.93,76,32,8.63
139,College,US,2022-10-13 00:27:26,64.8569,-147.8028,29.21,81,75,8.05
